osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
3643339590,,Total,,Nairobi,,,,,Waiyaki Way,fuel,,,
3680037630,,Northern Petroul Sation,,Wajir,,,,,Isiolo-Mandera Road,fuel,,,
3683457938,,Bajoo Shell Services,,,,,,,,fuel,,,
3683457944,,Galti Petro care,,Wajir,,,,,Isiolo-Mandera Road,fuel,,,
3683457958,,Wajir Blaza Fuel Station,,Wajir,,,,,Isiolo-Mandera Road,fuel,,,
3683620620,,Al Maaruf Fueling Station,,Wajir,,,,,Isiolo-Mandera Road,fuel,,,
3683621143,,Waberi Fuelling Station,,Wajir,,,,,Isiolo-Mandera Road,fuel,,,
3688455187,,Rubis,,Nairobi,,,,,Mombasa Road,fuel,,,
3695322660,,Buna Filling Station,,,,,,,,fuel,,,
3698402610,,Marks Petrol Station,,,,,,,Nairobi - Nakuru Road,fuel,,,
3704354953,,Total,,Kiserian,,,,,Kiserian-Isinya Road,fuel,,,
3706305668,,ILADE OIL FUEL STATION,,Kiserian,,,,,Magadi Road,fuel,,,
3725299548,,Total Mumias Service Station,,Mumias,,,,,Mumias-Bungoma Road,fuel,,,
3725362529,,,,,,,,,,fuel,,,
3727815459,,Petrol Station,,Mayoni,,,,,Mumias-Bungoma Road,fuel,,,
3729203207,,Shell,,Mlolongo,,,,,Mombasa Road,fuel,,,
3731344105,,Hashi Petrol Station,,Sabatia,,,,,Buyangu-Ekero Road,fuel,,,
3731351687,,Garissa Filling Station,,Mumias,,,,,Kakamega-Mumias Road,fuel,,,
3784326180,,Gulf Energy,,Kisumu,,,,,Kisumu-Busia Road,fuel,,,
3808532767,,Shell,,Kiambu,,,,,Kiambu Road,fuel,,,
3884436003,,Total,,Bungoma,,,,,Moi Avenue,fuel,,,
3908447483,,,,,,,,car_repair,,fuel,,,
3908447598,,,,,,,,,,fuel,,,
3908447687,,,,,,,,,,fuel,,,
3913936822,,Sandos Filling Station,,Ololulung'a,,,,,Kaplong-Narok-Maai Road,fuel,,,
4011195617,,OLA Energy,,Nairobi,,,,,Nairobi-Nakuru Road,fuel,,,
4011195947,,Rubis,,,,,,,Nairobi-Nakuru Road,fuel,,,
4041248507,,Total,,Lokichogio,,,,,Lodwar-Lokichogio Road,fuel,,,
4210622090,,Shell,,Nairobi,,,,,Ngong Road,fuel,,,
4230329591,,Petro petrol station,,,,,,,,fuel,,,
4324873067,,Shell,,Kikuyu,,,,,,fuel,,,
4324873132,,,,,,,,,,fuel,,,
4324883803,,Rubis,,Kikuyu,,,,,Kikuyu Road,fuel,,,
4366487162,,Wesco,,Kinungi,,,,,Nairobi - Nakuru Road,fuel,,,
4378644519,,,,,,,,,,fuel,,,
4451583199,,Fortune 100 Filling Station,,Timau,,,,,A2,fuel,,,
4453652642,,1-2-3,,,,,,,,fuel,,,
4454921739,,Rash Energy Company Limited,,Narok,,,,,C57,fuel,,,
4459193489,,Gulf Energy,,Narok,,,,,Kaplong-Narok-Maai Road,fuel,,,
