osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
5130082149,,,,,,,,,,,,,viewpoint
5151569318,,Lion Rock,,,,,,,,,,,viewpoint
5152337469,,,,,,,,,,,,,viewpoint
5152347092,,,,,,,,,,,,,viewpoint
5153085565,,Horned Viper Rock,,,,,,,,,,,viewpoint
5181218452,,Kamburu_Dam_Viewpoint,,,,,,,,,,,viewpoint
5187924538,,,,,,,,,,,,,viewpoint
5327136830,,Muchingoi Viewpoint,,,,,,,,,,,viewpoint
5329000716,,,,,,,,,,,,,viewpoint
5498943930,,,,,,,,,,,,,viewpoint
5518735167,,Lake Viewpoint,,,,,,,,,,,viewpoint
5518812955,,,,,,,,,,,,,viewpoint
5522721276,,,,,,,,,,,,,viewpoint
5524593034,,Shaba Main Viewpoint,,,,,,,,,,,viewpoint
5525043423,,River Viewpoint,,,,,,,,,,,viewpoint
5525044473,,River Viewpoint,,,,,,,,,,,viewpoint
5540337892,,,,,,,,,,,,,viewpoint
5606918872,,Sunset Viewpoint,,,,,,,,,,,viewpoint
5606918873,,,,,,,,,,,,,viewpoint
5748678821,,River Viewpoint JF,,,,,,,,,,,viewpoint
5748679021,,Sunrise viewpoint,,,,,,,,,,,viewpoint
6038927385,,Delta Dunes Car Park,,,,,,,,,,,viewpoint
6054224728,,Nyani Rock Viewpoint,,,,,,,,,,,viewpoint
6054253568,,Laragai Viewpoint,,,,,,,,,,,viewpoint
6054384771,,,,,,,,,,,,,viewpoint
6140754285,,Nyamaches' home,,,,,,,,,,,viewpoint
6153482077,,,,,,,,,,,,,viewpoint
6186338725,,,,,,,,,,,,,viewpoint
6186359791,,,,,,,,,,,,,viewpoint
6237433685,,Kasigau,,,,,,,,,,,viewpoint
6311684385,,Nyamaches',,,,,,,,,,,viewpoint
6360355785,,,,,,,,,,,,,viewpoint
6362111747,,Sundowner Viewpoint,,,,,,,,,,,viewpoint
6364919885,,Flamingo Viewpoint,,,,,,,,,,,viewpoint
6364947585,,,,,,,,,,,,,viewpoint
6374279940,,Ngong viewpoint,,,,,,,,,,,viewpoint
6505884885,,Birds view stp,,,,,,,,,,,viewpoint
6505885085,,Upper Lake view stp,,,,,,,,,,,viewpoint
6532248685,,Hippos and crocodiles view stp,,,,,,,,,,,viewpoint
6578600085,,Incredible view,,,,,,,,,,,viewpoint
6588841163,,,,,,,,,,,,,viewpoint
6592925286,,Turn for sandai farms,,,,,,,,,,,viewpoint
6604363286,,Marker No 16,,,,,,,,,,,viewpoint
6604365986,,Marker no 9,,,,,,,,,,,viewpoint
6604365987,,Marker No 17,,,,,,,,,,,viewpoint
6652686886,,,,,,,,,,,,,viewpoint
6905898161,,,,,,,,,,,,,viewpoint
6909462285,,Lirhanda Hill,,,,,,,,,,,viewpoint
7132875085,,Lesiolo valley,,,,,,,,,,,viewpoint
7232975520,,,,,,,,,,,,,viewpoint
7239935934,,,,,,,,,,,,,viewpoint
7309530855,,,,,,,,,,,,,viewpoint
7310180588,,,,,,,,,,,,,viewpoint
7319668404,,,,,,,,,,,,,viewpoint
8319498148,,Lake Bogoria viewpoint,,,,,,,,,,,viewpoint
8367784065,,,,,,,,,,,,,viewpoint
8483709320,,Canyon human made,,,,,,,,,,,viewpoint
8483709321,,Zebra and giraffe free safari,,,,,,,,,,,viewpoint
8483709917,,Waterfall forest and tea plantations view,,,,,,,,,,,viewpoint
8505990417,,,,,,,,,,,,,viewpoint
8524673918,,"Waterfall viewpoint, nice trail",,,,,,,,,,,viewpoint
8524674817,,Another fall!,,,,,,,,,,,viewpoint
8524674917,,Awesome view on top of the rocks,,,,,,,,,,,viewpoint
8598104217,,Little waterfalls and good view,,,,,,,,,,,viewpoint
8598104218,,View on torok falls during the climb,,,,,,,,,,,viewpoint
8628573425,,Kolsungur summit (cross) 3160m,,,,,,,,,,,viewpoint
9153886846,,,,,,,,,,,,,viewpoint
9283502265,,Viewpoint,,,,,,,,,,,viewpoint
9330310717,,Kwa DA SHAMSA LIKONI,,,,,,,,,,,viewpoint
9330310917,,MoonQue House,,,,,,,,,,,viewpoint
9330310918,,Pungu villa,,,,,,,,,,,viewpoint
